condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,6.0,32,1.0,1,Yu_ripple_detector,0.3596094999811612,195,,1.0,0.20512820512820512,9.494621610720344,-8.679277198293534,,
ripples,6.0,32,1.0,1,Zugaro_ripple_detector,0.016884292010217905,39,,0.975,1.0,22.954338651061335,-24.22275374402183,,
ripples,6.0,32,1.0,1,Long_sharp_wave_ripple_detector,0.17860608402406797,39,,0.95,0.9743589743589743,22.047413506751212,-23.370070959126465,,
ripples,6.0,32,1.0,1,Carey_candidate_detector,0.2708901249570772,40,,1.0,1.0,-3.1307693503421774,1.7403587135440546,,
ripples,6.0,32,1.0,1,multiunit_HSE_detector,0.0793377910158597,46,,1.0,0.8695652173913043,-20.053444212141613,14.751949076840631,,
ripples,6.0,32,1.0,2,Kay_ripple_detector,0.13455149997025728,43,,1.0,0.9302325581395349,10.780137105154353,-8.500071623785743,,
ripples,6.0,32,1.0,2,Karlsson_ripple_detector,0.349378541985061,47,,1.0,0.851063829787234,-18.689778976327176,18.023327163152025,,
ripples,6.0,32,1.0,2,Roumis_ripple_detector,0.2632399580325,43,,1.0,0.9302325581395349,10.446803771820612,-8.833404957123037,,
ripples,6.0,32,1.0,2,Shvartsman_ripple_detector,0.34694579197093844,42,,1.0,0.9523809523809523,-18.689778976327176,18.023327163152025,,
ripples,6.0,32,1.0,2,Yu_ripple_detector,0.33264883304946125,172,,1.0,0.23255813953488372,10.732147314151064,-10.339507545854332,,
ripples,6.0,32,1.0,2,Zugaro_ripple_detector,0.01634808402741328,40,,1.0,1.0,22.896616724410457,-21.81912548755216,,
ripples,6.0,32,1.0,2,Long_sharp_wave_ripple_detector,0.17444087495096028,39,,0.95,0.9743589743589743,17.558362852113873,-17.89601814184749,,
ripples,6.0,32,1.0,2,Carey_candidate_detector,0.26547829096671194,40,,1.0,1.0,-2.78244935134353,0.9490007544457058,,
ripples,6.0,32,1.0,2,multiunit_HSE_detector,0.07455295795807615,49,,1.0,0.8163265306122449,-17.572990090936713,16.99453014262886,,
noise only,,4,,0,Kay_ripple_detector,0.024616874987259507,34,,,0.0,,,,
noise only,,4,,0,Karlsson_ripple_detector,0.04262562497751787,2,,,0.0,,,,
noise only,,4,,0,Roumis_ripple_detector,0.03484475001459941,40,,,0.0,,,,
noise only,,4,,0,Shvartsman_ripple_detector,0.043119208014104515,0,,,,,,,
noise only,,4,,0,Yu_ripple_detector,0.05038233398227021,42,,,0.0,,,,
noise only,,4,,0,Zugaro_ripple_detector,0.010249791026581079,21,,,0.0,,,,
noise only,,4,,0,Long_sharp_wave_ripple_detector,0.17909541697008535,16,,,0.0,,,,
noise only,,4,,0,Carey_candidate_detector,0.15555879200110212,1,,,0.0,,,,
noise only,,4,,0,multiunit_HSE_detector,0.07471070799510926,100,,,0.0,,,,
noise only,,4,,1,Kay_ripple_detector,0.025378999998793006,40,,,0.0,,,,
noise only,,4,,1,Karlsson_ripple_detector,0.042687291046604514,4,,,0.0,,,,
noise only,,4,,1,Roumis_ripple_detector,0.03356904198881239,48,,,0.0,,,,
noise only,,4,,1,Shvartsman_ripple_detector,0.042635416029952466,0,,,,,,,
noise only,,4,,1,Yu_ripple_detector,0.04917870805365965,24,,,0.0,,,,
noise only,,4,,1,Zugaro_ripple_detector,0.010829832986928523,25,,,0.0,,,,
noise only,,4,,1,Long_sharp_wave_ripple_detector,0.1798360840184614,14,,,0.0,,,,
noise only,,4,,1,Carey_candidate_detector,0.15688254201086238,2,,,0.0,,,,
noise only,,4,,1,multiunit_HSE_detector,0.07902179198572412,94,,,0.0,,,,
noise only,,4,,2,Kay_ripple_detector,0.024543958017602563,34,,,0.0,,,,
noise only,,4,,2,Karlsson_ripple_detector,0.0430290829972364,6,,,0.0,,,,
noise only,,4,,2,Roumis_ripple_detector,0.03283395798644051,36,,,0.0,,,,
noise only,,4,,2,Shvartsman_ripple_detector,0.04282358300406486,0,,,,,,,
noise only,,4,,2,Yu_ripple_detector,0.04931458301143721,25,,,0.0,,,,
noise only,,4,,2,Zugaro_ripple_detector,0.01030979200731963,19,,,0.0,,,,
noise only,,4,,2,Long_sharp_wave_ripple_detector,0.1802845829515718,17,,,0.0,,,,
noise only,,4,,2,Carey_candidate_detector,0.15218958398327231,1,,,0.0,,,,
noise only,,4,,2,multiunit_HSE_detector,0.07442445796914399,107,,,0.0,,,,
noise only,,16,,0,Kay_ripple_detector,0.07175312499748543,42,,,0.0,,,,
noise only,,16,,0,Karlsson_ripple_detector,0.17080083303153515,14,,,0.0,,,,
noise only,,16,,0,Roumis_ripple_detector,0.12887820799369365,42,,,0.0,,,,
noise only,,16,,0,Shvartsman_ripple_detector,0.16935124999145046,1,,,0.0,,,,
noise only,,16,,0,Yu_ripple_detector,0.16597208299208432,38,,,0.0,,,,
noise only,,16,,0,Zugaro_ripple_detector,0.013702500029467046,26,,,0.0,,,,
noise only,,16,,0,Long_sharp_wave_ripple_detector,0.18039799999678507,18,,,0.0,,,,
noise only,,16,,0,Carey_candidate_detector,0.20652800000971183,1,,,0.0,,,,
noise only,,16,,0,multiunit_HSE_detector,0.07712999999057502,102,,,0.0,,,,
threshold sweep,,16,,0,Kay_ripple_detector,0.07307449996005744,42,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,0,Kay_ripple_detector,0.06947458296781406,14,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,0,Kay_ripple_detector,0.07037112495163456,3,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,0,Kay_ripple_detector,0.07090537500334904,0,,,,,,zscore_threshold,3.5
threshold sweep,,16,,0,Kay_ripple_detector,0.06945495796389878,0,,,,,,zscore_threshold,4.0
threshold sweep,,16,,0,Kay_ripple_detector,0.06766645901370794,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,0,Karlsson_ripple_detector,0.1789747080183588,332,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,0,Karlsson_ripple_detector,0.17300433298805729,94,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,0,Karlsson_ripple_detector,0.17175074998522177,14,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,0,Karlsson_ripple_detector,0.17478891601786017,3,,,0.0,,,zscore_threshold,3.5
threshold sweep,,16,,0,Karlsson_ripple_detector,0.17184008297044784,1,,,0.0,,,zscore_threshold,4.0
threshold sweep,,16,,0,Karlsson_ripple_detector,0.17279116599820554,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,0,Zugaro_ripple_detector,0.015873000025749207,119,,,0.0,,,high_threshold,3.0
threshold sweep,,16,,0,Zugaro_ripple_detector,0.01382608397398144,56,,,0.0,,,high_threshold,4.0
threshold sweep,,16,,0,Zugaro_ripple_detector,0.012578083027619869,26,,,0.0,,,high_threshold,5.0
threshold sweep,,16,,0,Zugaro_ripple_detector,0.011904749961104244,9,,,0.0,,,high_threshold,6.0
threshold sweep,,16,,0,Zugaro_ripple_detector,0.01228920795256272,1,,,0.0,,,high_threshold,8.0
noise only,,16,,1,Kay_ripple_detector,0.07468587497714907,42,,,0.0,,,,
noise only,,16,,1,Karlsson_ripple_detector,0.18611016700742766,16,,,0.0,,,,
noise only,,16,,1,Roumis_ripple_detector,0.1357242910307832,47,,,0.0,,,,
noise only,,16,,1,Shvartsman_ripple_detector,0.1743278750218451,3,,,0.0,,,,
noise only,,16,,1,Yu_ripple_detector,0.1737172080320306,57,,,0.0,,,,
noise only,,16,,1,Zugaro_ripple_detector,0.011777709005400538,29,,,0.0,,,,
noise only,,16,,1,Long_sharp_wave_ripple_detector,0.17707666696514934,13,,,0.0,,,,
noise only,,16,,1,Carey_candidate_detector,0.21175099996617064,0,,,,,,,
noise only,,16,,1,multiunit_HSE_detector,0.07757608295651153,96,,,0.0,,,,
threshold sweep,,16,,1,Kay_ripple_detector,0.07107249996624887,42,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,1,Kay_ripple_detector,0.07106787501834333,15,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,1,Kay_ripple_detector,0.0706876659533009,2,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,1,Kay_ripple_detector,0.07364554097875953,1,,,0.0,,,zscore_threshold,3.5
threshold sweep,,16,,1,Kay_ripple_detector,0.0702584579703398,0,,,,,,zscore_threshold,4.0
threshold sweep,,16,,1,Kay_ripple_detector,0.0684535420150496,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,1,Karlsson_ripple_detector,0.18527999997604638,326,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,1,Karlsson_ripple_detector,0.17434445797698572,81,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,1,Karlsson_ripple_detector,0.1701434999704361,16,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,1,Karlsson_ripple_detector,0.17079291597474366,2,,,0.0,,,zscore_threshold,3.5
threshold sweep,,16,,1,Karlsson_ripple_detector,0.1767073340015486,0,,,,,,zscore_threshold,4.0
threshold sweep,,16,,1,Karlsson_ripple_detector,0.17049237503670156,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,1,Zugaro_ripple_detector,0.0147434999817051,112,,,0.0,,,high_threshold,3.0
threshold sweep,,16,,1,Zugaro_ripple_detector,0.012741292011924088,63,,,0.0,,,high_threshold,4.0
threshold sweep,,16,,1,Zugaro_ripple_detector,0.011789374984800816,29,,,0.0,,,high_threshold,5.0
threshold sweep,,16,,1,Zugaro_ripple_detector,0.012607207987457514,12,,,0.0,,,high_threshold,6.0
threshold sweep,,16,,1,Zugaro_ripple_detector,0.012381250038743019,1,,,0.0,,,high_threshold,8.0
noise only,,16,,2,Kay_ripple_detector,0.07080658304039389,43,,,0.0,,,,
noise only,,16,,2,Karlsson_ripple_detector,0.1731060830061324,23,,,0.0,,,,
noise only,,16,,2,Roumis_ripple_detector,0.13854133401764557,48,,,0.0,,,,
noise only,,16,,2,Shvartsman_ripple_detector,0.16641854197951034,0,,,,,,,
noise only,,16,,2,Yu_ripple_detector,0.17033170798094943,52,,,0.0,,,,
noise only,,16,,2,Zugaro_ripple_detector,0.011932082998100668,27,,,0.0,,,,
noise only,,16,,2,Long_sharp_wave_ripple_detector,0.18095579196233302,18,,,0.0,,,,
noise only,,16,,2,Carey_candidate_detector,0.20847833302104846,2,,,0.0,,,,
noise only,,16,,2,multiunit_HSE_detector,0.07413779204944149,101,,,0.0,,,,
threshold sweep,,16,,2,Kay_ripple_detector,0.0708662910037674,43,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,2,Kay_ripple_detector,0.07118095800979063,15,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,2,Kay_ripple_detector,0.07119520800188184,4,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,2,Kay_ripple_detector,0.06804774998454377,0,,,,,,zscore_threshold,3.5
threshold sweep,,16,,2,Kay_ripple_detector,0.06723524996777996,0,,,,,,zscore_threshold,4.0
threshold sweep,,16,,2,Kay_ripple_detector,0.06930720899254084,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,2,Karlsson_ripple_detector,0.17940862500108778,328,,,0.0,,,zscore_threshold,2.0
threshold sweep,,16,,2,Karlsson_ripple_detector,0.17451045801863074,96,,,0.0,,,zscore_threshold,2.5
threshold sweep,,16,,2,Karlsson_ripple_detector,0.16817720897961408,23,,,0.0,,,zscore_threshold,3.0
threshold sweep,,16,,2,Karlsson_ripple_detector,0.1732780839665793,6,,,0.0,,,zscore_threshold,3.5
threshold sweep,,16,,2,Karlsson_ripple_detector,0.1650677080033347,1,,,0.0,,,zscore_threshold,4.0
threshold sweep,,16,,2,Karlsson_ripple_detector,0.16695149999577552,0,,,,,,zscore_threshold,5.0
threshold sweep,,16,,2,Zugaro_ripple_detector,0.015221583016682416,110,,,0.0,,,high_threshold,3.0
threshold sweep,,16,,2,Zugaro_ripple_detector,0.012896125030238181,59,,,0.0,,,high_threshold,4.0
threshold sweep,,16,,2,Zugaro_ripple_detector,0.012624249968212098,27,,,0.0,,,high_threshold,5.0
threshold sweep,,16,,2,Zugaro_ripple_detector,0.011537208047229797,12,,,0.0,,,high_threshold,6.0
threshold sweep,,16,,2,Zugaro_ripple_detector,0.013595958997029811,3,,,0.0,,,high_threshold,8.0
noise only,,32,,0,Kay_ripple_detector,0.1347978329868056,41,,,0.0,,,,
noise only,,32,,0,Karlsson_ripple_detector,0.3474575000000186,35,,,0.0,,,,
noise only,,32,,0,Roumis_ripple_detector,0.2581227910122834,51,,,0.0,,,,
noise only,,32,,0,Shvartsman_ripple_detector,0.35050033300649375,2,,,0.0,,,,
noise only,,32,,0,Yu_ripple_detector,0.33480941597372293,94,,,0.0,,,,
noise only,,32,,0,Zugaro_ripple_detector,0.016924583993386477,29,,,0.0,,,,
noise only,,32,,0,Long_sharp_wave_ripple_detector,0.18347266700584441,16,,,0.0,,,,
noise only,,32,,0,Carey_candidate_detector,0.2650638329796493,0,,,,,,,
noise only,,32,,0,multiunit_HSE_detector,0.07594995899125934,100,,,0.0,,,,
noise only,,32,,1,Kay_ripple_detector,0.13533983402885497,52,,,0.0,,,,
noise only,,32,,1,Karlsson_ripple_detector,0.3437210420379415,36,,,0.0,,,,
noise only,,32,,1,Roumis_ripple_detector,0.2620094580342993,54,,,0.0,,,,
noise only,,32,,1,Shvartsman_ripple_detector,0.34745379199739546,6,,,0.0,,,,
noise only,,32,,1,Yu_ripple_detector,0.3431640419876203,157,,,0.0,,,,
noise only,,32,,1,Zugaro_ripple_detector,0.016691083030309528,37,,,0.0,,,,
noise only,,32,,1,Long_sharp_wave_ripple_detector,0.17827112501254305,16,,,0.0,,,,
noise only,,32,,1,Carey_candidate_detector,0.26857662497786805,1,,,0.0,,,,
noise only,,32,,1,multiunit_HSE_detector,0.08099508297163993,102,,,0.0,,,,
noise only,,32,,2,Kay_ripple_detector,0.13370912498794496,48,,,0.0,,,,
noise only,,32,,2,Karlsson_ripple_detector,0.34913858299842104,40,,,0.0,,,,
noise only,,32,,2,Roumis_ripple_detector,0.2657595830387436,51,,,0.0,,,,
noise only,,32,,2,Shvartsman_ripple_detector,0.35723783302819356,4,,,0.0,,,,
noise only,,32,,2,Yu_ripple_detector,0.351306458003819,171,,,0.0,,,,
noise only,,32,,2,Zugaro_ripple_detector,0.017208583012688905,30,,,0.0,,,,
noise only,,32,,2,Long_sharp_wave_ripple_detector,0.18232695804908872,18,,,0.0,,,,
noise only,,32,,2,Carey_candidate_detector,0.26922412496060133,0,,,,,,,
noise only,,32,,2,multiunit_HSE_detector,0.07713150000199676,114,,,0.0,,,,
partial carriers,3.0,32,0.25,0,Kay_ripple_detector,0.1394445410114713,46,,0.2,0.17391304347826086,27.83363474441103,-11.415407372992625,,
partial carriers,3.0,32,0.25,0,Karlsson_ripple_detector,0.3570540419896133,56,,0.625,0.44642857142857145,2.0143345067396012,1.8045797665990904,,
partial carriers,3.0,32,0.25,0,Roumis_ripple_detector,0.26819166698260233,44,,0.125,0.11363636363636363,22.73099774239995,-16.379386857430234,,
partial carriers,3.0,32,0.25,0,Shvartsman_ripple_detector,0.35233137500472367,23,,0.45,0.782608695652174,-10.072974038402904,2.3982718074968545,,
partial carriers,3.0,32,0.25,0,Yu_ripple_detector,0.3440052500227466,147,,0.275,0.07482993197278912,12.231071810518301,-21.354584106788366,,
partial carriers,3.0,32,0.25,0,Zugaro_ripple_detector,0.017435124958865345,21,,0.05,0.09523809523809523,41.87233764922382,-8.578002986205036,,
